id,Comment,Sentiment
1,"Love this dress!  its sooo pretty.  i happened to find it in a store, and im glad i did bc i never would have ordered it online bc its petite.  i bought a petite and am 58.  i love the length on me- hits just a little below the knee.  would definitely be a true midi on someone who is truly petite.",Positive
2,"I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium, which was just ok. overall, the top half was comfortable and fit nicely, but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo, a major design flaw was the net over layer sewn directly into the zipper - it c",Negative
5,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",Negative
10,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,Negative
11,This dress is perfection! so pretty and flattering.,Positive
17,Took a chance on this blouse and so glad i did. i wasnt crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - cant go wrong.,Positive
18,"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5 5, about 135 and the small fits great.",Positive
22,"First of all, this is not pullover styling. there is a side zipper. i wouldnt have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but im sure i will find something to exchange it for!",Negative
25,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. im 55 and there was atleast 5 of material at my feet. the gaps in the front are much wider than they look. felt like the dress just fell flat. both were returned. im usually a large and the med fit better. 36d 30 in jeans",Negative
26,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves dont need to be as wide because you wouldnt be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,Negative
28,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. dont hesitate. buy this shirt. you wont be sorry.....,Positive
32,These pants are even better in person. the only downside is that they need to be dry cleaned.,Positive
33,"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn&#39;t so much the issue for me. the quality of the wool is subpar. someone else mentioned a &quot;felted wool&quot;...i guess, is that what you call it?  it does literally feel like felt! super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.",Negative
37,"Just ordered this in a small for me (56, 135, size 4) and medium for my mom (53, 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth ill need for houston fall and winter, looks polished snapped or unsnapped. age-appropriate for both my mom (60s) and myself (30s). will look amazing with skinny jeans or leggings. we ordered the gray which is true to the photos.",Positive
42,"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",Positive
